P1; -96.46965594687502 ; 40.85083890624998
P2; -96.46963505585937 ; 40.850853193359335
P3; -96.46959694609373 ; 40.85089550195309
P4; -96.46955450664065 ; 40.85095471249998
P5; -96.46948428828127 ; 40.8510700851562
P6; -96.46942680000001 ; 40.851219166406224
P7; -96.46939879140625 ; 40.85135967812496
P8; -96.46939276757813 ; 40.85148200351559
P9; -96.46939835078126 ; 40.85159381132808
P10; -96.46943066250002 ; 40.85174580703122
P11; -96.469476059375 ; 40.85188896874997
P12; -96.46951086874999 ; 40.85197655273434
P13; -96.46954692812498 ; 40.8520460535156
P14; -96.46960188828126 ; 40.852128280859354
P15; -96.46964360078123 ; 40.85217474023434
P16; -96.46971641210939 ; 40.85223739023435
P17; -96.46980917734375 ; 40.8522948113281
P18; -96.46992435703125 ; 40.85234279687497
P19; -96.470042175 ; 40.85237109648434
P20; -96.47020056953124 ; 40.85239064804685
P21; -96.4705041984375 ; 40.852447554296845
P22; -96.47066636171876 ; 40.85246378984373
P23; -96.47137003242189 ; 40.85259734179686
P24; -96.47147976640625 ; 40.85263473046872
P25; -96.4715611339844 ; 40.852674200781216
P26; -96.4716937328125 ; 40.85277642890623
P27; -96.4717213984375 ; 40.852806105078095
P28; -96.47175890820313 ; 40.85285919218746
P29; -96.47177294335937 ; 40.85286963906246
P30; -96.47180300859374 ; 40.85287575664059
P31; -96.47184599023437 ; 40.85287110937499
P32; -96.47192256445312 ; 40.852846381249975
P33; -96.47262270273438 ; 40.85274355820309
P34; -96.4727293796875 ; 40.85272264218746
P35; -96.4728410640625 ; 40.85269336992184
P36; -96.4729682203125 ; 40.85264400429684
P37; -96.47302771992186 ; 40.85261328867185
P38; -96.47306994921875 ; 40.85258011210936
P39; -96.47310610039064 ; 40.852523283203105
P40; -96.4731251125 ; 40.85246673046872
P41; -96.47316409765624 ; 40.85223701835934
P42; -96.47316902890626 ; 40.852162241406226
P43; -96.47315083281251 ; 40.85214051249995
P44; -96.47311141015626 ; 40.85212670390623
P45; -96.47246281054686 ; 40.85210698007809
P46; -96.47218260468749 ; 40.85211305546872
P47; -96.47179182695312 ; 40.852145092968726
P48; -96.47135546250001 ; 40.852214980859344
P49; -96.47125702578126 ; 40.85222479492184
P50; -96.47103971484374 ; 40.85223131835934
P51; -96.47096802617186 ; 40.852227812109355
P52; -96.47074694414063 ; 40.852190305859324
P53; -96.47055477187502 ; 40.85213790937496
P54; -96.47047270546877 ; 40.85211033515621
P55; -96.47035149609373 ; 40.85206051992184
P56; -96.47016431210938 ; 40.85195911601561
P57; -96.4700113925781 ; 40.851851071093726
P58; -96.46991190624999 ; 40.85175740195308
P59; -96.46988197109377 ; 40.851712803515596
P60; -96.46986012929688 ; 40.851661084765595
P61; -96.46982825742188 ; 40.85155056796872
P62; -96.46980758359373 ; 40.851404328515606
P63; -96.4698211167969 ; 40.851313796874955
P64; -96.46984286289063 ; 40.85123727812499
P65; -96.4698903921875 ; 40.851125481640594
P66; -96.47008588593751 ; 40.850834922656205
P67; -96.47010876796875 ; 40.85077893203122
P68; -96.47010462656249 ; 40.85076424335936
P69; -96.47008632695314 ; 40.85074778242184
P70; -96.470034990625 ; 40.8507423003906
P71; -96.46997956992188 ; 40.850744361718725
P72; -96.46982676289063 ; 40.85076864843748
P73; -96.46974569296876 ; 40.850796789453085
P74; -96.46969790000001 ; 40.85082556210936
P75; -96.46968469648438 ; 40.850839124609344
P76; -96.46965594687502 ; 40.85083890624998
